"","ligand","receptor","cell_from_mean_exprs","cell_from","cell_to_mean_exprs","cell_to","comm_type"
"9985","COL5A1","ITGB1",0.00229885057471264,"NK cells",1.26724137931034,"SMCs","other"
"14360","F13A1","ITGB1",0.00229885057471264,"NK cells",1.26724137931034,"SMCs","other"
"22660","LAMA2","ITGB1",0.00229885057471264,"NK cells",1.26724137931034,"SMCs","other"
"8366","COL18A1","ITGA5",0.132394366197183,"Fibroblasts",0.022002200220022,"T cells","other"
"223710","APP","SLC45A3",1.26666666666667,"VECs",0.00229885057471264,"NK cells","other"
"4415","VEGFC","NRP2",0.0562091503267974,"VECs",0.0517241379310345,"SMCs","growth factor"
"30241","PSAP","CELSR1",1.32112676056338,"Fibroblasts",0.0022002200220022,"T cells","other"
"26432","NCAM1","PTPRA",0.0252873563218391,"NK cells",0.114942528735632,"NK cells","other"
"308211","CXCL3","CXCR2",0.114942528735632,"NK cells",0.0252873563218391,"NK cells","cytokine"
"12294","ECM1","CACHD1",0.171830985915493,"Fibroblasts",0.0169014084507042,"Fibroblasts","other"
"3571","TGFB1","TGFBR3",0.0775862068965517,"SMCs",0.0374037403740374,"T cells","growth factor"
"25679","MFGE8","PDGFRB",0.0143014301430143,"T cells",0.202816901408451,"Fibroblasts","other"
"116101","CCL11","CCR5",0.109859154929577,"Fibroblasts",0.0264026402640264,"T cells","cytokine"
"35161","SPP1","S1PR1",0.164705882352941,"VECs",0.0176017601760176,"T cells","other"
"21325","INHBA","ACVR1",0.112068965517241,"SMCs",0.0258620689655172,"SMCs","other"
"21350","INHBA","ACVR1B",0.112068965517241,"SMCs",0.0258620689655172,"SMCs","other"
"33650","SEMA6D","TREM2",0.112068965517241,"SMCs",0.0258620689655172,"SMCs","other"
"12412","EDN1","EDNRB",1.26013071895425,"VECs",0.00229885057471264,"NK cells","other"
"9792","COL4A5","ITGB1",0.00845070422535211,"Fibroblasts",0.342528735632184,"NK cells","other"
"22967","LAMA5","ITGB1",0.00845070422535211,"Fibroblasts",0.342528735632184,"NK cells","other"
"23767","LAMC2","ITGB1",0.00845070422535211,"Fibroblasts",0.342528735632184,"NK cells","other"
"10231","COL6A2","ITGA1",0.0505747126436782,"NK cells",0.0572057205720572,"T cells","other"
"37596","UBA52","ERBB2",2.62931034482759,"SMCs",0.0011001100110011,"T cells","other"
"206311","CCL5","SDC4",0.0470588235294118,"VECs",0.061437908496732,"VECs","cytokine"
"20153","HSPG2","ITGB1",0.0033003300330033,"T cells",0.875816993464052,"VECs","other"
"22828","LAMA4","ITGB1",0.0033003300330033,"T cells",0.875816993464052,"VECs","other"
"23578","LAMC1","ITGB1",0.0033003300330033,"T cells",0.875816993464052,"VECs","other"
"27078","NPNT","ITGB1",0.0033003300330033,"T cells",0.875816993464052,"VECs","other"
"38003","VCAN","ITGB1",0.0033003300330033,"T cells",0.875816993464052,"VECs","other"
"29194","PLAU","ITGA5",0.0394366197183099,"Fibroblasts",0.0732394366197183,"Fibroblasts","other"
"128310","ANGPT2","TEK",0.0137931034482759,"NK cells",0.209150326797386,"VECs","other"
"25546","MDK","SDC4",0.163793103448276,"SMCs",0.0176017601760176,"T cells","other"
"25537","MDK","SDC4",0.179084967320261,"VECs",0.0160919540229885,"NK cells","other"
"36861","TNFSF12","TNFRSF12A",0.065359477124183,"VECs",0.044004400440044,"T cells","other"
"21434","INHBA","ENG",0.00919540229885057,"NK cells",0.312676056338028,"Fibroblasts","other"
"27065","NPNT","ITGA8",0.0222222222222222,"VECs",0.129310344827586,"SMCs","other"
"29098","PLAT","ITGB2",0.129310344827586,"SMCs",0.0222222222222222,"VECs","other"
"15347","FN1","CD79A",1.25,"SMCs",0.00229885057471264,"NK cells","other"
"15872","FN1","ROBO4",1.25,"SMCs",0.00229885057471264,"NK cells","other"
